state,year,Conservative,Medium,High
Gujarat,2027,33.893925184132954,37.3138588272767,38.68222763729728
Gujarat,2028,39.84113171191259,47.664863452905394,51.38779782677499
Gujarat,2029,44.55888749951735,58.10534140325067,65.70976142405976
Gujarat,2030,47.98769958106057,67.71218809171728,80.61961044648012
Gujarat,2031,50.32437109245114,75.83332613076384,94.91004853233098
Gujarat,2032,51.84774881247489,82.22071374117289,107.56187423385887
Gujarat,2033,52.8124108758128,86.96533240044258,117.99974895108645
Gujarat,2034,53.41205634492479,90.3421085951001,126.12116349935822
Gujarat,2035,53.78051903223618,92.67288594256696,132.15690231125726
Gujarat,2036,54.0053213238075,94.2478623740624,136.49138942305004
Gujarat,2037,54.1418799185066,95.29690259917068,139.52807237722214
Gujarat,2038,54.22461485222091,95.98894681627556,141.61883733880626
Gujarat,2039,54.27466007962195,96.44259159389448,143.04114843760374
Gujarat,2040,54.304902405676046,96.73872474756767,144.00083313748237
Gujarat,2041,54.32316713010568,96.9315105844404,144.64479535289982
Gujarat,2042,54.33419412769258,97.05679374243226,145.07530100048984
Gujarat,2043,54.340850055274686,97.1381159897745,145.36239101778654
Gujarat,2044,54.34486707395803,97.19086336533717,145.55352474539748
Gujarat,2045,54.347291256335495,97.22505984373264,145.6806339749632
Gujarat,2046,54.34875412829287,97.24722266967116,145.76510308440024
Gujarat,2047,54.34963687279468,97.26158352268835,145.8212087576787
Gujarat,2048,54.35016954041073,97.2708876982006,145.85846292309833
Gujarat,2049,54.35049096054776,97.27691521365986,145.88319436291374
Gujarat,2050,54.35068490937724,97.280819796669,145.89961015683642
India,2027,179.64717254378425,182.79171927327943,184.49095604739384
India,2028,222.648116833984,230.2733480733379,234.5485736260829
India,2029,271.6804265205479,287.0225487172555,295.98128720605973
India,2030,325.7740698494006,353.294092927158,370.1423683390021
India,2031,383.32017813575953,428.6228990155095,457.9094740350389
India,2032,442.2184727446003,511.66197139044806,559.3715378545942
India,2033,500.1639915363778,600.1636358661558,673.5341930689623
India,2034,554.9967101007949,691.1593958115185,798.1416459637579
India,2035,605.0063445126524,781.3289766111187,929.7173335735008
India,2036,649.1070995245142,867.4702010098799,1063.878935771274
India,2037,686.8572766639575,946.934426844094,1195.8895080373534
India,2038,718.3571985880178,1017.9086306936666,1321.3077905160171
India,2039,744.0867944864956,1079.4936913064575,1436.55557209893
India,2040,764.7392791877193,1131.6055151393905,1539.2579081691106
India,2041,781.0853585686701,1174.7717634831863,1628.3080924116607
India,2042,793.8798006539884,1209.901417806892,1703.705843409358
India,2043,803.807330763997,1238.0816325866328,1766.269052918191
India,2044,811.4583463578746,1260.4269555885762,1817.3190759431395
India,2045,817.3241544840664,1277.9834264036076,1858.407586861098
India,2046,821.803307517109,1291.6779976398232,1891.1151003693683
India,2047,825.2131482968521,1302.3000617934538,1916.9229347520488
India,2048,827.8029085314884,1310.502959682784,1937.1454975162408
India,2049,829.7663394547081,1316.816254408495,1952.9053842262683
India,2050,831.2529193559172,1321.6625878979034,1965.1353054011165
Karnataka,2027,11.604684363544417,11.847975321060202,11.958014918099668
Karnataka,2028,12.33484785038473,12.666153867022324,12.815823715234442
Karnataka,2029,13.043542702225468,13.47200505044484,13.665201008310882
Karnataka,2030,13.731172600185594,14.265714586346592,14.506229657179755
Karnataka,2031,14.39814951472428,15.047465392478308,15.338991707675826
Karnataka,2032,15.044892337105232,15.817437631438215,16.16356839960911
Karnataka,2033,15.671825580582103,16.575808752154018,16.98004017467807
Karnataka,2034,16.27937815167172,17.322753530740883,17.788486684304953
Karnataka,2035,16.867982191437594,18.05844411074466,18.588986797394533
Karnataka,2036,17.438071986306834,18.783050042779752,19.38161860801661
Karnataka,2037,17.99008294758737,19.49673832357052,20.16645944301332
Karnataka,2038,18.524450658538512,20.199673434405383,20.94358586953173
Karnataka,2039,19.04160998757355,20.89201737901227,21.713073702482717
Karnataka,2040,19.54199426593746,21.57392972086426,22.47499801192658
Karnataka,2041,20.026034528001876,22.24556761992385,23.22943313038625
Karnataka,2042,20.494158812153373,22.90708586883437,23.97645266008892
Karnataka,2043,20.94679152011488,23.558636928566752,24.716129480136427
Karnataka,2044,21.38435283243312,24.200370963530037,25.448535753605533
Karnataka,2045,21.807258177784497,24.832435876153404,26.173742934578478
Karnataka,2046,22.21591775369462,25.45497734094791,26.89182177510457
Karnataka,2047,22.61073609623176,26.06813883805557,27.60284233209357
Karnataka,2048,22.99211169621863,26.67206168629366,28.306873974141343
Karnataka,2049,23.36043665950847,27.266885075701616,29.003985388288783
Karnataka,2050,23.716096408888014,27.852746099598253,29.694244586714174
Maharashtra,2027,28.204486775360355,29.563843413556413,30.017492516182678
Maharashtra,2028,39.79893290030812,44.67133379971689,46.484479122233054
Maharashtra,2029,52.14956575103721,64.21190869835397,69.37944855983935
Maharashtra,2030,63.502729002421546,86.83088662181953,98.58949472223954
Maharashtra,2031,72.60954618940438,109.8808158761656,132.02697835272937
Maharashtra,2032,79.14875206609713,130.512675716049,165.86717686174296
Maharashtra,2033,83.48007777228922,146.9434086846075,196.10317800884695
Maharashtra,2034,86.19763585759067,158.85279635596686,220.2555796774903
Maharashtra,2035,87.84511651135799,166.9085900405867,237.87948642831677
Maharashtra,2036,88.82315939006271,172.10615834687113,249.90837730209756
Maharashtra,2037,89.39657280813273,175.35806130154884,257.7487119435239
Maharashtra,2038,89.73029681452414,177.353652719622,262.7065715557072
Maharashtra,2039,89.9236927854438,178.56377589201134,265.7819080326434
Maharashtra,2040,90.03548942696767,179.2922957462875,267.66679671852125
Maharashtra,2041,90.1000230779328,179.72896884493858,268.8135790659392
Maharashtra,2042,90.13724368819496,179.99002477962495,269.5081681166275
Maharashtra,2043,90.15870088290676,180.1458472435381,269.9277277833903
Maharashtra,2044,90.17106726292722,180.23876959013504,270.18074244817524
Maharashtra,2045,90.17819321968238,180.29415149339167,270.33317125046307
Maharashtra,2046,90.18229907824674,180.3271482384602,270.4249472035278
Maharashtra,2047,90.18466468123388,180.34680392586944,270.48018476803804
Maharashtra,2048,90.1860275891838,180.35851115417907,270.5134236258954
Maharashtra,2049,90.1868127951284,180.36548366813977,270.53342229375045
Maharashtra,2050,90.18726516768268,180.36963613814652,270.545453855117
Rajasthan,2027,52.97933372484576,54.01962642779817,54.57319633314863
Rajasthan,2028,68.10173600024194,71.08146251992531,72.74991513368656
Rajasthan,2029,85.11063987795274,91.67958318058234,95.58371793632384
Rajasthan,2030,103.18168143299064,115.5400056759696,123.42287702577812
Rajasthan,2031,121.25515824926252,141.891248826602,156.15346751448828
Rajasthan,2032,138.2708049511288,169.50266648574294,193.0305941007789
Rajasthan,2033,153.4028279925572,196.8855006317281,232.63814861526137
Rajasthan,2034,166.19250504498768,222.599090886353,273.05074822289225
Rajasthan,2035,176.54589012681376,245.536813342772,312.1827532838467
Rajasthan,2036,184.6382146909222,265.07992638320405,348.2012913832152
Rajasthan,2037,190.791591709662,281.08978612165345,379.8393996506499
Rajasthan,2038,195.37339748486173,293.7886522671324,406.508306277979
Rajasthan,2039,198.731957458122,303.60585704482173,428.2188996947635
Rajasthan,2040,201.16567212728893,311.0456772702436,445.3973120729895
Rajasthan,2041,202.91454166547615,316.59918384979846,458.6862270872726
Rajasthan,2042,204.1637487742244,320.6980027323861,468.7878668209781
Rajasthan,2043,205.05222346106456,323.69798309104164,476.36494543416944
Rajasthan,2044,205.6822043735308,325.8802958361779,481.9917220384114
Rajasthan,2045,206.1279298682339,327.4607363389551,486.1391757408748
Rajasthan,2046,206.44280668596187,328.60160425136627,489.1794716258855
Rajasthan,2047,206.66500598788525,329.4232387406884,491.3991940189115
Rajasthan,2048,206.82168546774,330.0139721188547,493.01504762863846
Rajasthan,2049,206.9321052837498,330.4381803237479,494.1887922112524
Rajasthan,2050,207.009894002271,330.7425415580753,495.040063851652
Tamil Nadu,2027,14.036994691724136,15.658691244046468,16.12160249905465
Tamil Nadu,2028,15.485546856867895,18.47146171938401,19.47006708136774
Tamil Nadu,2029,16.70060669710707,21.365366090643093,23.16034953856728
Tamil Nadu,2030,17.678572643000198,24.22747435146536,27.10085731439633
Tamil Nadu,2031,18.43987078885288,26.949703730405904,31.169116027658767
Tamil Nadu,2032,19.017249399702173,29.444378716022587,35.22571787842274
Tamil Nadu,2033,19.446539185580157,31.653812584059835,39.13283278984512
Tamil Nadu,2034,19.76103727050416,33.552245271081674,42.77228281181961
Tamil Nadu,2035,19.988951325051158,35.141465361048226,46.05837776561922
Tamil Nadu,2036,20.15282253679573,36.44304926691993,48.94297400277075
Tamil Nadu,2037,20.269980388025505,37.490090524496416,51.41314826329841
Tamil Nadu,2038,20.35340187746176,38.32027128598538,53.48394597405001
Tamil Nadu,2039,20.412630139934144,38.9709889648236,55.189222248822496
Tamil Nadu,2040,20.45459524252477,39.47646113249299,56.57297116863318
Tamil Nadu,2041,20.484285609099203,39.86636492672479,57.68246223532552
Tamil Nadu,2042,20.505269961722803,40.16550006395904,58.5635500914675
Tamil Nadu,2043,20.52009034503169,40.39404581330912,59.25793283721729
Tamil Nadu,2044,20.53055199019401,40.56810610484603,59.80188839914155
Tamil Nadu,2045,20.53793414058468,40.70034995947076,60.22599782697111
Tamil Nadu,2046,20.54314194354256,40.80063882814531,60.55545067602924
Tamil Nadu,2047,20.54681517010249,40.87658820794513,60.81064196762761
Tamil Nadu,2048,20.549405681632088,40.9340444117496,61.00787311097056
Tamil Nadu,2049,20.551232453443504,40.977475678110416,61.160047201318086
Tamil Nadu,2050,20.55252057112499,41.01028563301213,61.27730222668436
